ID	peaks-ENCFF128AKC.mapped.json	peaks-ENCFF663QIZ.mapped.json	strand	peak-union	counts-ENCFF128AKC.mapped.json	counts-ENCFF663QIZ.mapped.json	count-union	union-max-diff	aliases	object_type	display_name	biotype	description	seq_region_name	parent	is_canonical
ENSG00000129993	{'chr16:88961336-88961402', 'chr16:88974464-88974503', 'chr16:88976317-88976365', 'chr16:88894733-88894768', 'chr16:88967786-88967835', 'chr16:88952592-88952672', 'chr16:88940026-88940073', 'chr16:88961271-88961336', 'chr16:88894088-88894158', 'chr16:88968059-88968113', 'chr16:88894956-88895015', 'chr16:88894818-88894853', 'chr16:88957147-88957189', 'chr16:88893021-88893107', 'chr16:88894029-88894088', 'chr16:88966813-88966892', 'chr16:88941321-88941352', 'chr16:88887684-88887746', 'chr16:88957463-88957517', 'chr16:88892897-88892955', 'chr16:88896684-88896779', 'chr16:88975318-88975355'}		-	{'chr16:88961336-88961402', 'chr16:88974464-88974503', 'chr16:88976317-88976365', 'chr16:88894733-88894768', 'chr16:88967786-88967835', 'chr16:88952592-88952672', 'chr16:88940026-88940073', 'chr16:88961271-88961336', 'chr16:88894088-88894158', 'chr16:88968059-88968113', 'chr16:88894956-88895015', 'chr16:88894818-88894853', 'chr16:88957147-88957189', 'chr16:88893021-88893107', 'chr16:88894029-88894088', 'chr16:88966813-88966892', 'chr16:88941321-88941352', 'chr16:88887684-88887746', 'chr16:88957463-88957517', 'chr16:88892897-88892955', 'chr16:88896684-88896779', 'chr16:88975318-88975355'}	22	0	22	0	"[""MTG16"",""ZMYND4"",""MTGR2"",""ETO2"",""RUNX1T3""]"	Gene	CBFA2T3	protein_coding	CBFA2/RUNX1 partner transcriptional co-repressor 3 [Source:HGNC Symbol;Acc:HGNC:1537]	16		
ENSG00000167244		{'chr11:2129689-2129702', 'chr11:2129733-2129751', 'chr11:2129936-2129949', 'chr11:2129870-2129882', 'chr11:2129882-2129886', 'chr11:2129949-2129954', 'chr11:2129649-2129658', 'chr11:2129954-2129971', 'chr11:2129729-2129733', 'chr11:2129670-2129682', 'chr11:2129924-2129932', 'chr11:2129703-2129717', 'chr11:2129828-2129870', 'chr11:2129897-2129923', 'chr11:2129762-2129767', 'chr11:2129658-2129670', 'chr11:2129718-2129723', 'chr11:2129751-2129762', 'chr11:2129886-2129897', 'chr11:2129723-2129729', 'chr11:2129682-2129688'}	-	{'chr11:2129689-2129702', 'chr11:2129733-2129751', 'chr11:2129936-2129949', 'chr11:2129870-2129882', 'chr11:2129882-2129886', 'chr11:2129949-2129954', 'chr11:2129649-2129658', 'chr11:2129954-2129971', 'chr11:2129729-2129733', 'chr11:2129670-2129682', 'chr11:2129924-2129932', 'chr11:2129703-2129717', 'chr11:2129828-2129870', 'chr11:2129897-2129923', 'chr11:2129762-2129767', 'chr11:2129658-2129670', 'chr11:2129718-2129723', 'chr11:2129751-2129762', 'chr11:2129886-2129897', 'chr11:2129723-2129729', 'chr11:2129682-2129688'}	0	21	21	0	"[""C11orf43"",""FLJ44734"",""IGF-II""]"	Gene	IGF2	protein_coding	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	11		
ENSG00000240801		{'chr11:2129689-2129702', 'chr11:2129733-2129751', 'chr11:2129936-2129949', 'chr11:2129870-2129882', 'chr11:2129882-2129886', 'chr11:2129949-2129954', 'chr11:2129649-2129658', 'chr11:2129954-2129971', 'chr11:2129729-2129733', 'chr11:2129670-2129682', 'chr11:2129924-2129932', 'chr11:2129703-2129717', 'chr11:2129828-2129870', 'chr11:2129897-2129923', 'chr11:2129762-2129767', 'chr11:2129658-2129670', 'chr11:2129718-2129723', 'chr11:2129751-2129762', 'chr11:2129886-2129897', 'chr11:2129723-2129729', 'chr11:2129682-2129688'}	-	{'chr11:2129689-2129702', 'chr11:2129733-2129751', 'chr11:2129936-2129949', 'chr11:2129870-2129882', 'chr11:2129882-2129886', 'chr11:2129949-2129954', 'chr11:2129649-2129658', 'chr11:2129954-2129971', 'chr11:2129729-2129733', 'chr11:2129670-2129682', 'chr11:2129924-2129932', 'chr11:2129703-2129717', 'chr11:2129828-2129870', 'chr11:2129897-2129923', 'chr11:2129762-2129767', 'chr11:2129658-2129670', 'chr11:2129718-2129723', 'chr11:2129751-2129762', 'chr11:2129886-2129897', 'chr11:2129723-2129729', 'chr11:2129682-2129688'}	0	21	21	0	"[""""]"	Gene		lncRNA	novel transcript, 3' overlapping ncRNA IGF2	11		
ENSG00000105229	{'chr19:4035301-4035335', 'chr19:4035778-4035868', 'chr19:4036699-4036739', 'chr19:4036874-4036928', 'chr19:4037039-4037159', 'chr19:4035362-4035459', 'chr19:4035729-4035778', 'chr19:4036928-4036999', 'chr19:4033585-4033626', 'chr19:4036785-4036855', 'chr19:4035047-4035132', 'chr19:4037002-4037039', 'chr19:4038287-4038329', 'chr19:4037315-4037377', 'chr19:4035493-4035563', 'chr19:4037257-4037301', 'chr19:4037208-4037257', 'chr19:4034558-4034594'}		+	{'chr19:4035301-4035335', 'chr19:4035778-4035868', 'chr19:4036699-4036739', 'chr19:4036874-4036928', 'chr19:4037039-4037159', 'chr19:4035362-4035459', 'chr19:4035729-4035778', 'chr19:4036928-4036999', 'chr19:4033585-4033626', 'chr19:4036785-4036855', 'chr19:4035047-4035132', 'chr19:4037002-4037039', 'chr19:4038287-4038329', 'chr19:4037315-4037377', 'chr19:4035493-4035563', 'chr19:4037257-4037301', 'chr19:4037208-4037257', 'chr19:4034558-4034594'}	18	0	18	0	"[""ZMIZ6"",""Piasg"",""PIASY"",""FLJ12419""]"	Gene	PIAS4	protein_coding	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]	19		
ENSG00000115414	{'chr2:215433323-215433373', 'chr2:215399320-215399352', 'chr2:215435813-215435877', 'chr2:215370385-215370428', 'chr2:215409673-215409710', 'chr2:215391730-215391815', 'chr2:215408343-215408370', 'chr2:215435724-215435813', 'chr2:215408106-215408155', 'chr2:215406308-215406351', 'chr2:215414894-215414944', 'chr2:215375333-215375395', 'chr2:215376513-215376579', 'chr2:215384046-215384087', 'chr2:215435896-215435978', 'chr2:215433373-215433452', 'chr2:215406351-215406427'}		-	{'chr2:215433323-215433373', 'chr2:215399320-215399352', 'chr2:215435813-215435877', 'chr2:215370385-215370428', 'chr2:215409673-215409710', 'chr2:215391730-215391815', 'chr2:215408343-215408370', 'chr2:215435724-215435813', 'chr2:215408106-215408155', 'chr2:215406308-215406351', 'chr2:215414894-215414944', 'chr2:215375333-215375395', 'chr2:215376513-215376579', 'chr2:215384046-215384087', 'chr2:215435896-215435978', 'chr2:215433373-215433452', 'chr2:215406351-215406427'}	17	0	17	0	"[""GFND2"",""LETS"",""MSF"",""CIG"",""FINC""]"	Gene	FN1	protein_coding	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	2		
ENSG00000179588	{'chr16:88453933-88453980', 'chr16:88516673-88516719', 'chr16:88503495-88503564', 'chr16:88517878-88517953', 'chr16:88521201-88521270', 'chr16:88502456-88502499', 'chr16:88461013-88461054', 'chr16:88516409-88516433', 'chr16:88516898-88516982', 'chr16:88519965-88520053', 'chr16:88524739-88524796', 'chr16:88522732-88522793', 'chr16:88521087-88521201', 'chr16:88523782-88523832', 'chr16:88493567-88493618', 'chr16:88500937-88500992', 'chr16:88516719-88516770'}		+	{'chr16:88453933-88453980', 'chr16:88516673-88516719', 'chr16:88503495-88503564', 'chr16:88517878-88517953', 'chr16:88521201-88521270', 'chr16:88502456-88502499', 'chr16:88461013-88461054', 'chr16:88516409-88516433', 'chr16:88516898-88516982', 'chr16:88519965-88520053', 'chr16:88524739-88524796', 'chr16:88522732-88522793', 'chr16:88521087-88521201', 'chr16:88523782-88523832', 'chr16:88493567-88493618', 'chr16:88500937-88500992', 'chr16:88516719-88516770'}	17	0	17	0	"[""FOG1"",""FOG"",""ZC2HC11A"",""ZNF89A""]"	Gene	ZFPM1	protein_coding	zinc finger protein, FOG family member 1 [Source:HGNC Symbol;Acc:HGNC:19762]	16		
ENSG00000173273	{'chr8:9772134-9772143', 'chr8:9772184-9772216', 'chr8:9770792-9770834', 'chr8:9775857-9775950', 'chr8:9772143-9772151', 'chr8:9772151-9772181', 'chr8:9776140-9776203', 'chr8:9770901-9770980', 'chr8:9772216-9772235', 'chr8:9770990-9771068', 'chr8:9775950-9776052', 'chr8:9770834-9770901', 'chr8:9772067-9772134', 'chr8:9772282-9772346', 'chr8:9772346-9772407', 'chr8:9772235-9772282'}		+	{'chr8:9772134-9772143', 'chr8:9772184-9772216', 'chr8:9770792-9770834', 'chr8:9775857-9775950', 'chr8:9772143-9772151', 'chr8:9772151-9772181', 'chr8:9776140-9776203', 'chr8:9770901-9770980', 'chr8:9772216-9772235', 'chr8:9770990-9771068', 'chr8:9775950-9776052', 'chr8:9770834-9770901', 'chr8:9772067-9772134', 'chr8:9772282-9772346', 'chr8:9772346-9772407', 'chr8:9772235-9772282'}	16	0	16	0	"[""PARP-5a"",""TINF1"",""ARTD5"",""PARP5A"",""TNKS1"",""pART5"",""TIN1""]"	Gene	TNKS	protein_coding	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	8		
ENSG00000112877	{'chr5:652806-652845', 'chr5:651513-651548', 'chr5:649547-649594', 'chr5:652850-652902', 'chr5:649845-649913', 'chr5:648884-648939', 'chr5:651648-651710', 'chr5:651339-651417', 'chr5:648231-648285', 'chr5:649122-649169', 'chr5:651417-651513', 'chr5:650158-650203', 'chr5:647936-648013'}		+	{'chr5:652806-652845', 'chr5:651513-651548', 'chr5:649547-649594', 'chr5:652850-652902', 'chr5:649845-649913', 'chr5:648884-648939', 'chr5:651648-651710', 'chr5:651339-651417', 'chr5:648231-648285', 'chr5:649122-649169', 'chr5:651417-651513', 'chr5:650158-650203', 'chr5:647936-648013'}	13	0	13	0	"[""FLJ10565"",""KIAA1519""]"	Gene	CEP72	protein_coding	centrosomal protein 72 [Source:HGNC Symbol;Acc:HGNC:25547]	5		
ENSG00000091513	{'chr3:133778587-133778645', 'chr3:133748447-133748508', 'chr3:133756281-133756325', 'chr3:133757844-133757947', 'chr3:133756828-133756926', 'chr3:133748410-133748440', 'chr3:133746416-133746484', 'chr3:133753632-133753693', 'chr3:133748508-133748589', 'chr3:133754553-133754673', 'chr3:133766317-133766406', 'chr3:133755391-133755492'}		+	{'chr3:133778587-133778645', 'chr3:133748447-133748508', 'chr3:133756281-133756325', 'chr3:133757844-133757947', 'chr3:133756828-133756926', 'chr3:133748410-133748440', 'chr3:133746416-133746484', 'chr3:133753632-133753693', 'chr3:133748508-133748589', 'chr3:133754553-133754673', 'chr3:133766317-133766406', 'chr3:133755391-133755492'}	12	0	12	0	"[""PRO1557"",""PRO2086""]"	Gene	TF	protein_coding	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	3		
ENSG00000104728	{'chr8:1829961-1830056', 'chr8:1841054-1841089', 'chr8:1838635-1838698', 'chr8:1831284-1831349', 'chr8:1834025-1834091', 'chr8:1831891-1831940', 'chr8:1832052-1832148', 'chr8:1834870-1834902', 'chr8:1831987-1832052', 'chr8:1844360-1844395', 'chr8:1844395-1844442', 'chr8:1833662-1833677'}		+	{'chr8:1829961-1830056', 'chr8:1841054-1841089', 'chr8:1838635-1838698', 'chr8:1831284-1831349', 'chr8:1834025-1834091', 'chr8:1831891-1831940', 'chr8:1832052-1832148', 'chr8:1834870-1834902', 'chr8:1831987-1832052', 'chr8:1844360-1844395', 'chr8:1844395-1844442', 'chr8:1833662-1833677'}	12	0	12	0	"[""Gef10"",""KIAA0294""]"	Gene	ARHGEF10	protein_coding	Rho guanine nucleotide exchange factor 10 [Source:HGNC Symbol;Acc:HGNC:14103]	8		
ENSG00000104904	{'chr19:2270898-2270974', 'chr19:2269796-2269813', 'chr19:2270161-2270205', 'chr19:2270511-2270575', 'chr19:2270575-2270677', 'chr19:2270299-2270336', 'chr19:2271242-2271350', 'chr19:2270376-2270411', 'chr19:2271121-2271173', 'chr19:2270680-2270752', 'chr19:2270220-2270289', 'chr19:2271063-2271120'}		+	{'chr19:2270898-2270974', 'chr19:2269796-2269813', 'chr19:2270161-2270205', 'chr19:2270511-2270575', 'chr19:2270575-2270677', 'chr19:2270299-2270336', 'chr19:2271242-2271350', 'chr19:2270376-2270411', 'chr19:2271121-2271173', 'chr19:2270680-2270752', 'chr19:2270220-2270289', 'chr19:2271063-2271120'}	12	0	12	0	"[""OAZ"",""MGC138338"",""AZ1"",""AZI""]"	Gene	OAZ1	protein_coding	ornithine decarboxylase antizyme 1 [Source:HGNC Symbol;Acc:HGNC:8095]	19		
ENSG00000131149	{'chr16:85594101-85594167', 'chr16:85592665-85592708', 'chr16:85625756-85625816', 'chr16:85632649-85632671', 'chr16:85618201-85618352', 'chr16:85613080-85613116', 'chr16:85631042-85631103', 'chr16:85643726-85643759', 'chr16:85613930-85613964', 'chr16:85612731-85612774', 'chr16:85613730-85613753', 'chr16:85593940-85593983'}		+	{'chr16:85594101-85594167', 'chr16:85592665-85592708', 'chr16:85625756-85625816', 'chr16:85632649-85632671', 'chr16:85618201-85618352', 'chr16:85613080-85613116', 'chr16:85631042-85631103', 'chr16:85643726-85643759', 'chr16:85613930-85613964', 'chr16:85612731-85612774', 'chr16:85613730-85613753', 'chr16:85593940-85593983'}	12	0	12	0	"[""KIAA0182""]"	Gene	GSE1	protein_coding	Gse1 coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:28979]	16		
ENSG00000215417	{'chr13:91348722-91348765', 'chr13:91348608-91348658', 'chr13:91347881-91347921', 'chr13:91348346-91348448', 'chr13:91348796-91348863', 'chr13:91348973-91349022', 'chr13:91348552-91348608', 'chr13:91348004-91348104', 'chr13:91348252-91348292', 'chr13:91348479-91348528', 'chr13:91349022-91349088', 'chr13:91348190-91348252'}		+	{'chr13:91348722-91348765', 'chr13:91348608-91348658', 'chr13:91347881-91347921', 'chr13:91348346-91348448', 'chr13:91348796-91348863', 'chr13:91348973-91349022', 'chr13:91348552-91348608', 'chr13:91348004-91348104', 'chr13:91348252-91348292', 'chr13:91348479-91348528', 'chr13:91349022-91349088', 'chr13:91348190-91348252'}	12	0	12	0	"[""MIRH1"",""MIHG1"",""C13orf25"",""FLJ14178"",""miR-17-92"",""NCRNA00048"",""MIRHG1"",""LINC00048""]"	Gene	MIR17HG	lncRNA	miR-17-92a-1 cluster host gene [Source:HGNC Symbol;Acc:HGNC:23564]	13		
ENSG00000273734	{'chr19:2270898-2270974', 'chr19:2269796-2269813', 'chr19:2270161-2270205', 'chr19:2270511-2270575', 'chr19:2270575-2270677', 'chr19:2270299-2270336', 'chr19:2271242-2271350', 'chr19:2270376-2270411', 'chr19:2271121-2271173', 'chr19:2270680-2270752', 'chr19:2270220-2270289', 'chr19:2271063-2271120'}		+	{'chr19:2270898-2270974', 'chr19:2269796-2269813', 'chr19:2270161-2270205', 'chr19:2270511-2270575', 'chr19:2270575-2270677', 'chr19:2270299-2270336', 'chr19:2271242-2271350', 'chr19:2270376-2270411', 'chr19:2271121-2271173', 'chr19:2270680-2270752', 'chr19:2270220-2270289', 'chr19:2271063-2271120'}	12	0	12	0	"[""""]"	Gene		protein_coding	novel protein, readthrough between OAZ1 and SPPL2B	19		
ENSG00000283239	{'chr8:1829961-1830056', 'chr8:1841054-1841089', 'chr8:1838635-1838698', 'chr8:1831284-1831349', 'chr8:1834025-1834091', 'chr8:1831891-1831940', 'chr8:1832052-1832148', 'chr8:1834870-1834902', 'chr8:1831987-1832052', 'chr8:1844360-1844395', 'chr8:1844395-1844442', 'chr8:1833662-1833677'}		+	{'chr8:1829961-1830056', 'chr8:1841054-1841089', 'chr8:1838635-1838698', 'chr8:1831284-1831349', 'chr8:1834025-1834091', 'chr8:1831891-1831940', 'chr8:1832052-1832148', 'chr8:1834870-1834902', 'chr8:1831987-1832052', 'chr8:1844360-1844395', 'chr8:1844395-1844442', 'chr8:1833662-1833677'}	12	0	12	0	"[""""]"	Gene	KBTBD11-OT1	protein_coding	KBTBD11 overlapping transcript 1 [Source:NCBI gene (formerly Entrezgene);Acc:104266957]	8		
ENSG00000183087	{'chr13:113860098-113860168', 'chr13:113855173-113855210', 'chr13:113859759-113859878', 'chr13:113862925-113862964', 'chr13:113858017-113858065', 'chr13:113852826-113852857', 'chr13:113858322-113858399', 'chr13:113856128-113856201', 'chr13:113862232-113862288', 'chr13:113858095-113858238', 'chr13:113861950-113861991'}		-	{'chr13:113860098-113860168', 'chr13:113855173-113855210', 'chr13:113859759-113859878', 'chr13:113862925-113862964', 'chr13:113858017-113858065', 'chr13:113852826-113852857', 'chr13:113858322-113858399', 'chr13:113856128-113856201', 'chr13:113862232-113862288', 'chr13:113858095-113858238', 'chr13:113861950-113861991'}	11	0	11	0	"[""DKFZp666G247"",""FLJ34709"",""AXLLG"",""AXSF""]"	Gene	GAS6	protein_coding	growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168]	13		
ENSG00000188026	{'chr12:123510273-123510338', 'chr12:123513590-123513631', 'chr12:123513391-123513446', 'chr12:123513460-123513522', 'chr12:123510113-123510252', 'chr12:123510338-123510397', 'chr12:123513216-123513308', 'chr12:123513308-123513361', 'chr12:123511222-123511377', 'chr12:123509940-123510033'}		-	{'chr12:123510273-123510338', 'chr12:123513590-123513631', 'chr12:123513391-123513446', 'chr12:123513460-123513522', 'chr12:123510113-123510252', 'chr12:123510338-123510397', 'chr12:123513216-123513308', 'chr12:123513308-123513361', 'chr12:123511222-123511377', 'chr12:123509940-123510033'}	10	0	10	0	"[""FLJ39378""]"	Gene	RILPL1	protein_coding	Rab interacting lysosomal protein like 1 [Source:HGNC Symbol;Acc:HGNC:26814]	12		
ENSG00000099901	{'chr22:20123478-20123519', 'chr22:20124392-20124442', 'chr22:20124830-20124860', 'chr22:20123853-20123934', 'chr22:20123999-20124021', 'chr22:20124207-20124260', 'chr22:20122536-20122589', 'chr22:20123592-20123664', 'chr22:20123538-20123592'}		+	{'chr22:20123478-20123519', 'chr22:20124392-20124442', 'chr22:20124830-20124860', 'chr22:20123853-20123934', 'chr22:20123999-20124021', 'chr22:20124207-20124260', 'chr22:20122536-20122589', 'chr22:20123592-20123664', 'chr22:20123538-20123592'}	9	0	9	0	"[""HTF9A""]"	Gene	RANBP1	protein_coding	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	22		
ENSG00000105327	{'chr19:47227766-47227791', 'chr19:47226273-47226314', 'chr19:47227611-47227647', 'chr19:47226369-47226417', 'chr19:47230259-47230293', 'chr19:47230322-47230364', 'chr19:47230488-47230578', 'chr19:47228812-47228908', 'chr19:47229621-47229663'}		-	{'chr19:47227766-47227791', 'chr19:47226273-47226314', 'chr19:47227611-47227647', 'chr19:47226369-47226417', 'chr19:47230259-47230293', 'chr19:47230322-47230364', 'chr19:47230488-47230578', 'chr19:47228812-47228908', 'chr19:47229621-47229663'}	9	0	9	0	"[""PUMA"",""JFY1""]"	Gene	BBC3	protein_coding	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	19		
ENSG00000175164	{'chr9:133256607-133256640', 'chr9:133257297-133257335', 'chr9:133255884-133255934', 'chr9:133256674-133256761', 'chr9:133254471-133254611', 'chr9:133254370-133254423', 'chr9:133257616-133257688', 'chr9:133262281-133262351', 'chr9:133255526-133255569'}		-	{'chr9:133256607-133256640', 'chr9:133257297-133257335', 'chr9:133255884-133255934', 'chr9:133256674-133256761', 'chr9:133254471-133254611', 'chr9:133254370-133254423', 'chr9:133257616-133257688', 'chr9:133262281-133262351', 'chr9:133255526-133255569'}	9	0	9	0	"[""A3GALT1"",""A3GALNT""]"	Gene	ABO	protein_coding	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]	9		
ENSG00000198727	{'chrM:15086-15109', 'chrM:14782-14837', 'chrM:15126-15140', 'chrM:15140-15157', 'chrM:15163-15174', 'chrM:15116-15126', 'chrM:14850-14862', 'chrM:15021-15052', 'chrM:15182-15208'}		+	{'chrM:15086-15109', 'chrM:14782-14837', 'chrM:15126-15140', 'chrM:15140-15157', 'chrM:15163-15174', 'chrM:15116-15126', 'chrM:14850-14862', 'chrM:15021-15052', 'chrM:15182-15208'}	9	0	9	0	"[""CYTB"",""UQCR3"",""COB"",""MTCYB""]"	Gene	MT-CYB	protein_coding	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	MT		
ENSG00000163631	{'chr4:73413542-73413576', 'chr4:73404384-73404403', 'chr4:73415068-73415168', 'chr4:73417589-73417665', 'chr4:73410311-73410347', 'chr4:73409433-73409487', 'chr4:73418088-73418130', 'chr4:73413419-73413425'}		+	{'chr4:73413542-73413576', 'chr4:73404384-73404403', 'chr4:73415068-73415168', 'chr4:73417589-73417665', 'chr4:73410311-73410347', 'chr4:73409433-73409487', 'chr4:73418088-73418130', 'chr4:73413419-73413425'}	8	0	8	0	"[""""]"	Gene	ALB	protein_coding	albumin [Source:HGNC Symbol;Acc:HGNC:399]	4		
ENSG00000141568	{'chr17:82519774-82519841', 'chr17:82586544-82586597', 'chr17:82586378-82586412', 'chr17:82586292-82586321', 'chr17:82586227-82586264', 'chr17:82587026-82587070', 'chr17:82585844-82585947'}		+	{'chr17:82519774-82519841', 'chr17:82586544-82586597', 'chr17:82586378-82586412', 'chr17:82586292-82586321', 'chr17:82586227-82586264', 'chr17:82587026-82587070', 'chr17:82585844-82585947'}	7	0	7	0	"[""ILF"",""ILF1""]"	Gene	FOXK2	protein_coding	forkhead box K2 [Source:HGNC Symbol;Acc:HGNC:6036]	17		
ENSG00000162496	{'chr1:12582729-12582789', 'chr1:12584273-12584320', 'chr1:12584113-12584168', 'chr1:12582808-12582837', 'chr1:12584458-12584471', 'chr1:12585544-12585638', 'chr1:12584344-12584365'}		-	{'chr1:12582729-12582789', 'chr1:12584273-12584320', 'chr1:12584113-12584168', 'chr1:12582808-12582837', 'chr1:12584458-12584471', 'chr1:12585544-12585638', 'chr1:12584344-12584365'}	7	0	7	0	"[""retSDR1"",""SDR1"",""RDH17"",""Rsdr1"",""SDR16C1""]"	Gene	DHRS3	protein_coding	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	1		
ENSG00000198888	{'chrM:3406-3425', 'chrM:3447-3459', 'chrM:3356-3381', 'chrM:3319-3355', 'chrM:3672-3719', 'chrM:3905-3916', 'chrM:3394-3406'}		+	{'chrM:3406-3425', 'chrM:3447-3459', 'chrM:3356-3381', 'chrM:3319-3355', 'chrM:3672-3719', 'chrM:3905-3916', 'chrM:3394-3406'}	7	0	7	0	"[""ND1"",""NAD1"",""MTND1""]"	Gene	MT-ND1	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	MT		
ENSG00000241058	{'chr10:18556139-18556189', 'chr10:18552544-18552614', 'chr10:18560291-18560336', 'chr10:18557118-18557162', 'chr10:18564505-18564542', 'chr10:18563404-18563449', 'chr10:18572127-18572176'}		-	{'chr10:18556139-18556189', 'chr10:18552544-18552614', 'chr10:18560291-18560336', 'chr10:18557118-18557162', 'chr10:18564505-18564542', 'chr10:18563404-18563449', 'chr10:18572127-18572176'}	7	0	7	0	"[""NOPD1"",""ARL5B-AS1"",""FLJ23743""]"	Gene	NSUN6	protein_coding	NOP2/Sun RNA methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23529]	10		
ENSG00000059145	{'chr16:1379234-1379342', 'chr16:1372390-1372511', 'chr16:1375682-1375702', 'chr16:1372697-1372784', 'chr16:1374568-1374635', 'chr16:1377423-1377481'}		-	{'chr16:1379234-1379342', 'chr16:1372390-1372511', 'chr16:1375682-1375702', 'chr16:1372697-1372784', 'chr16:1374568-1374635', 'chr16:1377423-1377481'}	6	0	6	0	"[""C16orf28"",""ZC3HDC5L"",""ZC3H5L"",""FLJ23360""]"	Gene	UNKL	protein_coding	unk like zinc finger [Source:HGNC Symbol;Acc:HGNC:14184]	16		
ENSG00000075624	{'chr7:5530260-5530310', 'chr7:5530352-5530437', 'chr7:5529923-5530016', 'chr7:5529812-5529907', 'chr7:5530034-5530069', 'chr7:5530146-5530257'}		-	{'chr7:5530260-5530310', 'chr7:5530352-5530437', 'chr7:5529923-5530016', 'chr7:5529812-5529907', 'chr7:5530034-5530069', 'chr7:5530146-5530257'}	6	0	6	0	"[""""]"	Gene	ACTB	protein_coding	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	7		
ENSG00000159692	{'chr4:1223604-1223669', 'chr4:1224969-1225018', 'chr4:1243765-1243807', 'chr4:1223115-1223163', 'chr4:1244365-1244401', 'chr4:1247514-1247579'}		-	{'chr4:1223604-1223669', 'chr4:1224969-1225018', 'chr4:1243765-1243807', 'chr4:1223115-1223163', 'chr4:1244365-1244401', 'chr4:1247514-1247579'}	6	0	6	0	"[""BARS""]"	Gene	CTBP1	protein_coding	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	4		
ENSG00000182871	{'chr21:45431883-45431951', 'chr21:45418792-45418828', 'chr21:45436846-45437010', 'chr21:45435666-45435731', 'chr21:45430272-45430327', 'chr21:45438908-45438979'}		+	{'chr21:45431883-45431951', 'chr21:45418792-45418828', 'chr21:45436846-45437010', 'chr21:45435666-45435731', 'chr21:45430272-45430327', 'chr21:45438908-45438979'}	6	0	6	0	"[""KNO"",""KS"",""KNO1""]"	Gene	COL18A1	protein_coding	collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]	21		
ENSG00000197724	{'chr9:93672981-93673116', 'chr9:93673165-93673272', 'chr9:93670832-93670903', 'chr9:93670568-93670610', 'chr9:93670903-93670978', 'chr9:93670154-93670190'}		+	{'chr9:93672981-93673116', 'chr9:93673165-93673272', 'chr9:93670832-93670903', 'chr9:93670568-93670610', 'chr9:93670903-93670978', 'chr9:93670154-93670190'}	6	0	6	0	"[""KIAA0662"",""KDM7C"",""CENP-35"",""JHDM1E""]"	Gene	PHF2	protein_coding	PHD finger protein 2 [Source:HGNC Symbol;Acc:HGNC:8920]	9		
ENSG00000215712	{'chr6:157313553-157313600', 'chr6:157314295-157314357', 'chr6:157312865-157312908', 'chr6:157313818-157313863', 'chr6:157313989-157313997', 'chr6:157310464-157310527'}		-	{'chr6:157313553-157313600', 'chr6:157314295-157314357', 'chr6:157312865-157312908', 'chr6:157313818-157313863', 'chr6:157313989-157313997', 'chr6:157310464-157310527'}	6	0	6	0	"[""C6orf35"",""BM033""]"	Gene	TMEM242	protein_coding	transmembrane protein 242 [Source:HGNC Symbol;Acc:HGNC:17206]	6		
ENSG00000244300	{'chr3:128493267-128493333', 'chr3:128496500-128496543', 'chr3:128497452-128497474', 'chr3:128492896-128493028', 'chr3:128495763-128495838', 'chr3:128493937-128494012'}		+	{'chr3:128493267-128493333', 'chr3:128496500-128496543', 'chr3:128497452-128497474', 'chr3:128492896-128493028', 'chr3:128495763-128495838', 'chr3:128493937-128494012'}	6	0	6	0	"[""""]"	Gene	GATA2-AS1	lncRNA	GATA2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51108]	3		
ENSG00000291042	{'chr3:133746416-133746484', 'chr3:133753632-133753693', 'chr3:133748508-133748589', 'chr3:133748447-133748508', 'chr3:133754553-133754673', 'chr3:133748410-133748440'}		+	{'chr3:133746416-133746484', 'chr3:133753632-133753693', 'chr3:133748508-133748589', 'chr3:133748447-133748508', 'chr3:133754553-133754673', 'chr3:133748410-133748440'}	6	0	6	0	"[""""]"	Gene		lncRNA	novel transcript	3		
